sentiment,review_body,product_category
-1,I loved the star pattern of this top but the cut was odd. it is very big in the chest and full at the bottom. for anyone who is petite on top it tends to look sloppy.,Blouses
-1,The first time i wore it  felt wonderful. had it cleaned and then the back end stated pilling. very disappointed with the price and quality. wish i could return for my money back. sad,Blouses
-1,The print is very pretty but the fabric is stiff and it runs way too big.  looks great on the model but awful on me.,Blouses
-1,The shape is awkward  too loose  not flattering. my body just disappears under all the fabric and the bird print wasn't as cute as online. returning this one.,Blouses
-1,Cute top but started disintegrating after two washes. the delicate cutouts in the top tore apart. i machine washed it in the gentle cycle and didn't use the dryer. disappointed to have to discard the top after just buying it.,Blouses
-1,This top is really cute and i love the design. however  the first time i wore it  the waste band started unraveling.,Blouses
-1,I wanted to love this as i love holding horses but it fits weird  slender in arms but baggy in the torso. i will be returning,Blouses
-1,I wanted to love this shirt. it's not my usual style buy it looked so great online. unfortunately the actual shirt is much more brown in color and design than i thought looking online. i'm fair coloring & it just wasn't flattering. i'm thin but have a larger chest and this style just wasn't right for me. could definitely be cute on someone else but not a good match for me.,Blouses
-1,This top is gorgeous and i exchanged it 3 times hoping it would work. i originally got the size a would normally wear (a 6).and the arm holes and top were extremely tight and the top was short so i sized up and still had the same problem. i then went all the way up to a size 14 in order to get the length of the shirt log enough but now it is quite large around my hips. i love the detailing of the shirt but unfortunately if you have any chest at all it will not fit,Blouses
0,"I got my usual xs (i'm a 32b) and the top fit fine from the chest up. my head just fits through the hole on top without having to unbutton. but then from the chest down  the shirt billows out too far. it hits me at the hip like the model (i'm 5'6"" and wear 2/26) but because of the extra fabric it really needs to be longer to balance out the trapeze look. since the top portion fits nicely i almost want to keep it then have a seamstress take it in a little at the waist so it's more a-line than tra",Blouses
0,"I love the details and design of this top- my only issue is the top is a bit too ""flowy"".",Blouses
0,I really wanted to like this shirt  but it made me look 9 months pregnant. which would be fine if i were pregnant.  it sits wired in the bust and flows out in the front and back. not flattering at all.,Blouses
0,First off  the other reviews are spot on regarding the quality of this top. the material is thick and pleasant feeling  the print is beautiful and the construction is nicely done. however  i just couldn't get past the fit issue  which was also mentioned by the other reviewers. i ordered a 14 for my 38 dd chest  and it was loose in all the wrong places. i'd be interested to see what a 12 looks like on me  but i'm afraid it would be too snug. this may look awesome on someone else  but i had to ret,Blouses
0,Too pricey for the quality of this imported product.,Blouses
0,I have a 36c bust. i bought this blouse in a 10  even though i wear an 8 or 10. i sized up based on previous reviews. this top was super tight in the bust (it literally flattened my breasts) and very loose on the bottom. it was not flattering at all. the material is gorgeous. it is thick. it is lined. it is darted at the bust and it flares out in a peplum fashion where the light fabric up top meets the dark band of fabric in the middle. the problem is that busty ladies will find the bust area wa,Blouses
0,I love a good peplum top  and was so excited when it arrived  but was sad to find the flare on the peplum was a little too much. i'm not sure why it was so unflattering  because in every other way  it fit like a dream  but it seemed like either there was too much or too little fabric around the waist to have it hang properly. it had to go back.,Blouses
0,"I loved this top in the blue and wanted so badly for it to fit however it was very unflattering on my 5'7"" frame. the bottom hemline is straight across all around whereas i thought it was longer in the back. i could see this looking great on a really petite frame. runs large  xs fit however wasn't flattering",Blouses
0,Ordered navy in a medium and it is wide. sometimes that's a good thing  but not this time. am short waisted and hoped this would be more fitted at the waist on me but it isn't. it just looked frumpy with lots of see through parts. obviously it needs a cami but wasn't attractive on me at all. seemed well made and probably better on someone taller.,Blouses
1,This top is the perfect combo of function and flair! the style of the top makes it easy to wear and the back detail is just lovely. i love that it can be worn as either a buttoned-up top or a light over-shirt with a t-shirt or camisole underneath. i would pair this with blue or gray skinny jeans.,Blouses
1,This is a great  casual top that can work in all seasons. i love it with skinny pants/jeans.,Blouses
1,I got this shirt in red plaid and love it. super cute without being too trendy. i wore it with shorts and got lots of compliments.,Blouses
1,"I bought this in both the black motif and the ivory. i got a size 2 and i would say it is true to size. the fabric is very comfortable and doesn't wrinkle easily. it does have a ""flowy"" look to it but i didn't find that it had too much fabric. i wouldn't tuck it in though. i find it looks really good with skinny jeans/pants and i love throwing a cardigan over it for cooler days. the details in the double buttons and on the back are really cute and make it more unique. i recommend the shirt.",Blouses
